cut_date,team,rating
2025/5/5,光芒,0.528982441
2025/5/5,勇士,0.432863589
2025/5/5,國民,0.506977706
2025/5/5,大都會,0.472301805
2025/5/5,天使,0.481778581
2025/5/5,太空人,0.518024088
2025/5/5,守護者,0.495872874
2025/5/5,小熊,0.444559796
2025/5/5,巨人,0.594130982
2025/5/5,教士,0.565162272
2025/5/5,水手,0.57266892
2025/5/5,洋基,0.5005983
2025/5/5,海盜,0.461181222
2025/5/5,白襪,0.54750892
2025/5/5,皇家,0.513928543
2025/5/5,紅人,0.501313757
2025/5/5,紅襪,0.583847988
2025/5/5,紅雀,0.58233061
2025/5/5,老虎,0.275539366
2025/5/5,落磯,0.362473448
2025/5/5,藍鳥,0.521698066
2025/5/5,費城人,0.513956788
2025/5/5,遊騎兵,0.474230403
2025/5/5,運動家,0.574326026
2025/5/5,道奇,0.56415856
2025/5/5,釀酒人,0.555468442
2025/5/5,金鶯,0.502943343
2025/5/5,雙城,0.426943339
2025/5/5,響尾蛇,0.463379214
2025/5/5,馬林魚,0.460850611
2025/5/10,光芒,0.547567116
2025/5/10,勇士,0.502169798
2025/5/10,國民,0.465352625
2025/5/10,大都會,0.538821426
2025/5/10,天使,0.477816502
2025/5/10,太空人,0.524314089
2025/5/10,守護者,0.528131833
2025/5/10,小熊,0.482653723
2025/5/10,巨人,0.575580032
2025/5/10,教士,0.532936547
2025/5/10,水手,0.532358297
2025/5/10,洋基,0.526566957
2025/5/10,海盜,0.432115825
2025/5/10,白襪,0.576635091
2025/5/10,皇家,0.456322423
2025/5/10,紅人,0.510533088
2025/5/10,紅襪,0.60547678
2025/5/10,紅雀,0.602907452
2025/5/10,老虎,0.297598076
2025/5/10,落磯,0.337022589
2025/5/10,藍鳥,0.545937184
2025/5/10,費城人,0.553688351
2025/5/10,遊騎兵,0.511154746
2025/5/10,運動家,0.550692422
2025/5/10,道奇,0.507706747
2025/5/10,釀酒人,0.53613025
2025/5/10,金鶯,0.488103338
2025/5/10,雙城,0.386981779
2025/5/10,響尾蛇,0.386303157
2025/5/10,馬林魚,0.480421757
2025/5/15,光芒,0.547764734
2025/5/15,勇士,0.485403162
2025/5/15,國民,0.477784444
2025/5/15,大都會,0.553860867
2025/5/15,天使,0.455379672
2025/5/15,太空人,0.557568697
2025/5/15,守護者,0.545001151
2025/5/15,小熊,0.460892414
2025/5/15,巨人,0.598387026
